,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
1633,help luciana make a fourweek meditation retreat,"Dreams, Hopes & Wishes","€1,554 raised of €1,200                    ",Saint-Priest-sous-Aixe,100%,"Created January 13, 2022","***CAMPAIGN SUCCEEDED!!!!! YOU GUYS ARE AWESOME AND SUPER GENEROUS! WE REACHED THE NECESSARY AMOUNT IN ONE WEEK! I WILL RESPOND TO EACH ONE OF THE DONERS PERSONALLY..!MY DEEP APPRECIATION AND THANK YOU TO EACH ONE OF YOU!***Hello Everyone,It is very nice to meet all of you!I am a 32 year old meditation practitioner from Brazil. Although I have been raised in a Buddhist family was not only until a few years ago that I felt the call to dive into the studies and practices of the tradition. Only after going trough big losses that I understood that there was no other way to live besides getting more and more familiarized with the nature of mind and the impermanent - ever changing reality.Since then, some radical changes happened. I realized that the life I was living did not making sense anymore. I am a phisician and used to work as a doctor in the city where I grew, São Paulo. With time I realized I was drifting away from the process of life, death and dying and also from the sense of what ""cure"" is. I had eager to see the world and get in touch with life again. Learn how can we, in fact, built a human society based out in respect and love. Learn to see humans as humans again and maybe find a way to thoroughly be present and helpful for others.I quit my job and all my former activities and it's been a year and a half that I have been traveling and volunteering around Brazil and Europe. Within the travels I came to realize that with the practice of meditation is how we can finally construct sane good societies, based in what we really are. In the search of deepen my practice I moved to a Shambhala Land Center in France, called Dechen Chöling. I am participating on the ""Meditation in Action"" program, in which we actively take part in the community with daily activities and also have the chance to experience regular meditation practice. It has been a wonderful opportunity to get deep in the practice and also approach living within Buddhism and Shambhala values itself.We have a four week meditation retreat coming up that I really would like to join, and that's the reason why I am here! The program is called ""Spring Dathün"" and basically consists in a month-long meditation experience, permeated with meditation instructions, dharma studies and the right container for the practice to happen. It is a really nice experience for those who want to dive in the practice and start more deep studies.Unfortunately the program is in Euros, which is a very high exchange rate for the brazilian money right now! I want to financially contribute as I can, but affording the whole program is too much for me.So, if you feel you are willing to contribute on my spiritual path and help me doing the program, I would really appreciate it!I have been thinking of what could I offer you in exchange for your collaboration, and here it goes:If you are in need or desire to share: I would be happy to meet you and spend sometime toguether! If you want, we can have a zoom - meeting, where we share a bout about anything: life, feelings, desires, etc... I would be delighted to hear and help with time, listening or anything that's possible.If you are curious about brazilian delicious cuisine: You can send me a type of meal you like (salt, sweet, desert, entrance, etc) and I will be happy to provide you with one typical brazilian recipe so you can try it yourself!If you want to be delighted by art: you can share a word or a thought with me and I will send you a text extract or poem based on that. No certainty guaranteed but for sure some delight.I will also write about the experience once it's finished and I am open to share with everyone interested to hear about it. = )!Of course, besides our personal exchange, all the practice and studies are dedicated to the benefit of all beings.By helping with the crowd funding you are also helping Dechen Chöling =)!Thank you for taking your time in reading my profile and a little bit about myself. I appreciate it a lot. Big warm brazilian hug full of love and care to all of you!***Technical & Financial Information***The program will start in March 4th and goes until April 2nd of 2022. That gives about 50 days of crowdfunding!It will happen in Dechen Chöling, so I don't have travels expenses - I am living here already = )!The program costs are:Programme Price: EUR 420,00Accommodation & Food: EUR 36,00/night*The program has 30 days, which results in a total of accommodation & food of: EUR 1.080,00Total Price: EUR 1.500,00Crowdfunding goal: EUR 1.200,00My personal contribution: EUR 300,00Read more",17
1634,aidons nos enfants pour larbre de nol,"Dreams, Hopes & Wishes","€2,262 raised of €2,000                    ",Roissy-en-Brie,100%,"Created November 21, 2021","Bonjour la famille, c'est votre Général de PAIX. Comme chaque année en centrafrique depuis 2016 à ce jour je fais appel à votre cœur de parent et d'amour en vue de réussir à collecter suffisamment de fonds pour l'arbre de noël de cette année il nous reste 1 mois mais comme toujours je sais que nous pouvons compter sur vous ; Sachant que ses enfants orphelins souffrent du manque de leurs parents ils manquent souvent d'amour d'attention, d'affection même pour manger c'est compliqué .Merci à celles et ceux qui le feront. Pour les tantines et tontons habituels, nous comptons sur vous ! Que Dieu vous benisse.La Présidente de Mains d'Enfants Yassoro.TABITHA TANYA FRANCK.Read more",50
1635,apoyo para gnesis y lucho en paris,"Dreams, Hopes & Wishes",€639 raised of €500                    ,Saint-Ouen,100%,"Created December 17, 2021","¡Hola amigos(as) y personas queridas de Génesis y Lucho! Esta es una colecta navideña solidaria para apoyar a estos tortolitos en su recién empezada aventura de estudiar y trabajar en París.Me presento: conocí a Génesis en Ciencias Políticas en la UCR y desde que vino a París estuvo en mi casa su primer mes y aquí conocí a Lucho. Desde entonces nos hemos ido acercando mucho y son los únicos ticos que tengo cerca desde que vivo aquí!No es nada fácil vivir en una ciudad como París y los chicos la han pulseado un montón...los he visto palmarla con conseguir un apartamento, muebles, conseguir un trabajo, hablar francés, estudiar, hacer los 1500 trámites burocráticos que piden en este país...etc.Así que este es un llamado a la solidaridad entre compas, para que donen lo que sea, no importa si es poquito!!!La colecta terminará el 24 de diciembre (actualización: la extendimos hasta el 16 de enero!!!)Read more",15
1636,gueto surf o surf al barrio,"Dreams, Hopes & Wishes",€125 raised of €800                    ,Biarritz,15.6%,Created 1 day ago,"Bonjour, je m'appelle Francisco Ortiz, je suis un passionné de surf, je suis bénévole d'une association appelée @paddlepaddecharityproject.qui est chargé de collecter, réparer et envoyer des planches de surf dans différentes parties du monde.en ce moment, nous organisons une mission en colombie pour février 2022.Après que @paddlepaddle ait réussi à envoyer plus de 100 planches de surf au Ghana l'année dernière en octobre, cela nous a fait croire que tout est possible ! !!!. Depuis quelques mois, nous avons commencé à collecter et réparer des planches afin d'aider des jeunes qui n'ont pas les moyens d'acheter une planche de surf, dans différents spots de surf en Colombie.Cette campagne consiste à voyager avec les planches depuis Biarritz jusqu'à la côte caraïbe colombienne. Livrer les planches aux différents clubs de surf et aux athlètes dans le besoin.Toute aide est très importante et permettra de transformer ces planches abandonnées et d'en faire des jeunes gens heureux et motivés pour rêver et vivre leurs rêves.l'idée est de voyager du 2 au 10 février et de pouvoir passer 3 semaines en Colombie en documentant toutes ces émotions du voyage depuis mon compte Instagram @pachoburgersurf ce serait un voyage pour créer des liens et pouvoir envoyer dans le futur un container de matériel de surf ♂️ pour aider les jeunes à aller dans le sens du tourisme durable.la mission consiste à apporter 12 shortboards, quelques bodyboards et quelques combinaisons d'eau chaude que nous avons collectés avec l'association et nous les réparons pour les mettre en excellent état afin de les livrer en colombie.L'argent récolté servira à financer le voyage et le transport de nos planches qui seront réparties en 3 boardbaggs de 4 planches chacun. Pour transporter ce matériel, il faut toujours un gros véhicule et un avion pour traverser l'Atlantique de Madrid à Bogota, puis Barranquilla / Puerto Colombia / secteur Tayrona / Palomino / Isla Fuerte. Et dans chaque endroit, nous vérifierons que les planches arrivent dans les bonnes mains.l'idée est de documenter la missionHola me llamo Francisco Ortiz soy un apasionado por el surf, soy voluntario de una asociación que se llama @paddlepaddecharityproject la cual se encarga de colectar, reparar y enviar tablas de surf a diferentes lugares del mundoen este momento estamos organizando una misión a colombia para febrero del 2022 Después que @paddlepaddle logro enviar más de 100 tablas de surf a Ghana el año pasado en octubre , nos hizo creer de que todo es possible !!! Desde hace unos meses empezamos a recolectar y reparar algunas  tablas con dirección de ayudar algunos jóvenes locales que no tienen apoyo financiero para comprar una tabla de surf,  en diferentes spots de surf de colombiaesta campaña consiste viajar con las tablas desde biarritz hasta la  costa caribeña colombiana. Para hacer entrega a los diferentes clubes de surf y deportistas necesitados cualquier ayuda es muy importante y va ayudar transformar esas tablas abandonadas y convertirlas en jóvenes alegres con motivación de soñar y vivir sus sueñosla idea es viajar desde el 2 y 10 de febrero y poder pasar 3 semanas en colombia documentando todas estas emociones del viaje desde mi cuenta de Instagram @pachoburgersurf esto sería un viaje para hacer conexiones y poder enviar en el futuro un contenedor de material de surf ‍♂️ para ayudar a la juventud direcionarse al turismo sosteniblela misión consiste en llevar 12 tablas de surf «shortboard« algunos bodyboards y algunas wetsuit para aguas tibias  que recolectamos con la asociación y  estamos reparando para dejarlas  en excelente estado para entregarlas en colombia  el dinero recaudado será para ayudar a financiar el viaje y el transporte de nuestras tablas que será dividido en 3 boardbaggs de 4 tablas cada uno  para transportar este material siempre hace falta un gran vehículo y un avión para cruzar el Atlántico desde Madrid hasta Bogotá, después Barranquilla / puerto colombia/ sector tayrona/ palomino/ isla fuerte.  Y en cada lugar vamos a verificar que las tablas lleguen a las manos adecuadas la idea es documentar la misión y poder mostrar las alegrias que puede hacer donar una tabla que no uses Hello my name is Francisco Ortiz I am passionate about surfing, I am a volunteer of an association called @paddlepaddecharityprojectwhich is in charge of collecting, repairing and sending surfboards to different parts of the world.at this moment we are organizing a mission to colombia for february 2022.After @paddlepaddle managed to send more than 100 surfboards to Ghana last year in October, it made us believe that everything is possible !!!! Since a few months ago we started to collect and repair some boards in order to help some local young people who don't have financial support to buy a surfboard, in different surf spots in Colombia.This campaign consists of traveling with the boards from Biarritz to the Colombian Caribbean coast. To deliver the boards to the different surf clubs and athletes in need, any help is very important and will help toany help is very important and will help to transform these abandoned boards and turn them into happy young people with motivation to dream and live their dreams.the idea is to travel from the 2nd and 10th of february and spend 3 weeks in colombia documenting all these emotions of the trip from my Instagram account @pachoburgersurf this would be a trip to make connections and to be able to send in the future a container of surf material ♂️ to help the youth to go towards sustainable tourism.the mission is to bring 12 shortboards, some bodyboards and some wetsuits for warm waters that we collected with the association and we are repairing them to leave them in excellent condition to deliver them in Colombia.the money collected will be to help finance the trip and the transport of our boards that will be divided in 3 boardbaggs of 4 boards each to transport this material we always need a big vehicle and a plane to cross the Atlantic from Madrid to Bogotá, then Barranquilla / puerto colombia/ tayrona sector/ palomino/ isla fuerte. And in each place we will verify that the boards reach the right hands.the idea is to document the mission and to be able to show the joys that donating a board that you don't use can bring us.Read more",4
1637,5vucqs aide pour mes enfants,"Dreams, Hopes & Wishes","€100 raised of €1,000                    ",Châlons-en-Champagne,10.0%,"Created January 12, 2022",Je vient a faire cette cagnotte en urgence cela fessais 8mois que je travailler en cdi en restauration aujourd'hui j'ai tout perdu je n'est pas le droits au chômage ni au RSA j'ai perdu les deux enfants qui mon été retiré au mois de juillet en 2019 aujourd'hui j'aimerais leurs offrir mon rêvé  leurs chambre aujourd'hui je n'est plus le droit de les voir pour des raisons personnelles svp je compte sur vous  pour leurs offrir se que vous pouvez merci cordialement .Read more,4
1638,team mini lewis amineton 6 ans et demi,"Dreams, Hopes & Wishes","€1,815 raised of €7,000                    ",Saint-Germain-lès-Corbeil,25.9%,"Created December 20, 2021","French : Avec plus de 1 million de vue en 2021 , Amine PANTOLI 6 ans et demi, fait parler de lui sur les réseaux sociaux et les médias.il a découvert le karting en 2018. Il a besoin de soutien pour pouvoir continuer sa passion.Le karting est un sport qui coûte cher et pour le moment, il n'a pas les moyens financiers de continuer le karting toute l'année 2022.Vidéo février 2021 M6La saison complète de karting est entre 10 000 et 30000€ selon le programme (nombre de roulage entrainement, nombre de course, course régional, ou national...). Plus le budget est conséquent plus le pilote a de moyens pour pouvoir pratiquer à haut niveau et progresser.Pour le moment nous disposons d'un total de 4500€ ( + 2000€ qui viendront au fur et à mesure de l'année avec mes salaires (papa d'Amine))Actualité nov/dec 2021:Article prévu sur le journal de la ville début 2022Décoration du kart (avec logos des sponsors) offert par ligne de course début 2022Achat du moteur gazelle d'occasion prévu (800€) mercredi 22 décembreAmine va disposer du prêt d'un chassis pour ses débuts en catégorie minime début 2022Nouveau sponsor : conseiller IAD et KR serviceFormula kids invite Amine à conduire une voiture (vidéo sur les réseaux)Pietro Peccenini champion d'europe et Emilien Denner champion du monde soutiennent Amine en participant à sa cagnotte.devenez partenaire vous aussi de celui que l’on surnomme Mini Amineton.Votre aide, même modeste, est d’une valeur inestimable pour continuer en 2022 et son avenir.Voici un lien facebook pour découvrir les vidéos du mini pilote:compte facebookVous pouvez aussi le retrouver sur Instagram .Exemple de dépenses pour la saison 2022 (selon programme) :Pneu, essence et huile : 3000€Achat du moteur d'occasion : 800€Frais mécanique divers, révision moteur : 1500€Frais de déplacement sur les pistes : 1800€droits de piste : 1000€Ecole de karting : 600€Equipement divers : 600€frais d'engagement course : 1000€frais d'hotel weekends de course : 600€etc....English :With more than 1 million views in 2021, Amine PANTOLI, 6 and a half, is talked about on social networks and the media. he discovered karting in 2018. Go-karting is an expensive sport and for the moment, it does not have the financial means to continue karting throughout 2022. He needs support to be able to continue his passion.Following an exceptional year 2021, this 6-year-old mini pilot hopes to be able to continue his development. The complete karting season is between 10,000 and 30,000 € depending on the program (number of training runs, number of races, regional or national races, etc.). The larger the budget, the more means the pilot has to be able to practice at a high level and progress. For the moment we have a total of 3500 € (+ 2000 € which will come as the year progresses with my salaries (dad of Amine)) News nov / dec 2021: - Article planned for the city newspaper in early 2022 - Decoration of the kart (with sponsor logos) offered by the race line in early 2022- Purchase of the second-hand gazelle engine planned (800 €) on Wednesday 22 December - Amine will have the loan of a chassis for its debut in the minimal category in early 2022 - New sponsor: IAD and KR service advisor - Formula kids invites Amine to drive a car (video on the networks) - Pietro Peccenini European champion and Emilien Denner world champion support Amine by participating in his prize pool. you too become a partner of the one nicknamed Mini Amineton. Your help, however small, is invaluable in moving forward into 2022 and its future. Example of expenses for the 2022 season (according to program): Tire, gasoline and oil: 3000 € Purchase of the second-hand motor: 800 € Miscellaneous mechanical costs, engine overhaul: € 1,500 Travel costs on the slopes: € 1,800 trail fees: 1000 € Karting school: 600 € Miscellaneous equipment: 600 € race entry fee: 1000 € hotel race weekend fees: 600 € etc ....Read more",23
1639,arielles transition and safety fund,"Dreams, Hopes & Wishes","€75 raised of €30,000                    ",Paris,1.0%,"Created January 15, 2022","Hi, my name Arielle. I'm a 20 year old transgender woman. I've been trying to gain full independence away from an environment that is unsafe to me. I'm trying to work on my own accord to afford therapy, gender affirming procedures like facial feminization surgery while also finding a place to live but I need help.Any reshare, or even the smallest donation would mean the world to me.Thank you so much.Read more",5
1640,soutien pour thildou,"Dreams, Hopes & Wishes",€240 raised of €1.0B                    ,Toulouse,1.0%,"Created December 16, 2021","Si tu souhaites m'aider à améliorer mon contenu et me soutenir dans mon aventure ASMR, tu peux faire un don ici. Sache que le moindre petit don est pour moi une grande aide. ❤Je tiens à te remercier, car si tu es arrivé ici c'est que tu me soutiens, et c'est un pur bonheur de pouvoir évoluer au quotidien avec des personnes bienveillantes. Je le dis souvent mais ""ma communauté est la meilleure"" ❤Merci à vous tous d'être là, de ne pas me lâcher. Je donnerai toujours le meilleur de moi même pour vous aider au quotidien, vous relaxer et vous endormir ❤Je vous aime,Thildou Read more",10
1641,une cole de lespoir pour les enfants de komb,"Dreams, Hopes & Wishes","€60 raised of €20,000                    ", ,1.0%,Created 3 days ago,"Bonjour,J'espère de tout cœur,par cette demande d'aide, pouvoir réaliser grâce à vos dons le projet de mon grand-père parti trot tôt.Ce projet consiste en la création d'une école primaire,sur les terres qu'il nous a laissées au Congo afin d'en faire profiter aux enfants du village.Le Savoir et l'Éducation étaient primordiales pour mon grand père et c'est pourquoi, à l'aube de mes 67 ans,mon souhait avant de quitter cette Terre est de réussir à relever ce défi.Grâce à vous, à vos contributions,je pourrai enfin réaliser le rêve inachevé de ce grand et généreux personnage qu'il était.Il avait fondé une coopérative maraîchère dans cette même commune,à Kombé (Congo), c'était un homme qui aimait la terre et étant la première de ses petites filles je tiens à aller au bout de son projet.Je m'appelle Simone Bidilou et je serais reconnaissante de votre contribution, quelque soit le montant.Cela représentera beaucoup à mes yeux et pour les enfants qui seront scolarisés dans cette école.Pour faire un don,je vous invite à cliquer sur ce lienEnfin,je citerai Nelson Mandela :""L'Éducation est l'arme la plus puissante que vous pouvez utiliser pour changer le monde"".J'ai besoin de vous,les enfants ont besoin de vous !Avec toute ma reconnaissance.Read more",3
1642,isa au canada,"Dreams, Hopes & Wishes","€120 raised of €4,500                    ",Labarthe-Inard,2.7%,"Created January 15, 2022",Cette cagnotte à pour but d'aider ma super maman à réaliser son rêve de travailler au Canada. La cagnotte à pour but de payer pour les frais de dossier d'immigration et tout est faisable avec un coup de pouce !On a besoin de vous!Read more,3
1643,aider david soffrir un instrument,"Dreams, Hopes & Wishes",€600 raised of €600                    ,Gagny,100.0%,"Created December 16, 2021",Je compose comme multi instrumentiste et cette basse est le dernier élément dont j'ai besoin pour accompagner mes artistes en représentation live.DavidRead more,12
1644,asking for your support to write a book,"Dreams, Hopes & Wishes","€505 raised of €1,000                    ",Toulouse,50.5%,"Created December 13, 2021","Dear Community & Friends,I'm currently writing a new book, made of short stories. It is partly autobiographical (only partly!), relating major moments of my life and love stories. Most of it doesn't take place in France but abroad.It relates stories of daring & strong women. That follow their passion to change their own lives & possibly the world.To write this book, I would need your support for two reasons :I don't have any passive income and will have to reduce my coaching sessions rhythm early 2022, in order to follow my dream. I will not stop working fully, but will have to decrease the pace in order to dive more completely into my writing activity & focus on the creation process - at least for the first part of the year (3 to 4 months)I want to travel again in order to add more sensory aspects to my writings and dive more fully into the atmosphere of the faraway places where the action is taking place -- and be more inspired, again.For these main two reasons, I need would love to receive some support. This will greatly help my dream come true. If you have loved my writings over time, and want to give a little bit of yourself into this big project, you can donate something -- even little. By creating this donation link, I'm trusting this book will be in part co-creation between myself and the Universe. Myself and my past and future travels. Myself and the people that have mattered on the journey. Myself and all the Muses. Myself and all of you, who have supported my work big time over the years & have helped me believe in the power of my words.I will be extremely grateful for your support. I think it's ok to co-create with others. I think it's ok to ask for help. I think it's ok to show our life situations, struggles and wishes as they are, and that is OK to stop letting the biggest dreams dormant somewhere in our heart.So the funds will be used to finance myself as I write, and to travel shortly as mentioned above.It's a big step for me to send this, knowing it's the REAL start of a new writing journey. Knowing I have some support for the early months of 2022 will help me continue with less worry, in a more serene way.Thank you for reading this in the first place, Thank you for your presence over the years, and a BIG thank you too to those who will support my dream <3Love to allSophieRead more",13
1645,un rve revenir sur son lieu de naissance,"Dreams, Hopes & Wishes","€40 raised of €5,000                    ",Eyjeaux,1.0%,Created 1 day ago,"Tout d’abord bonjour à vous qui vont nous découvrir j’ai 56 ans je suis née sur l’île de la Réunion et j’aimerais par votre aide de pouvoir y retourner et la faire découvrir à mon cher et tendre que je vais épouser le 16 juillet 2022 , je fais cette appelle pour concrétiser ce voyage de découverte car je suis arrivée en métropole par le biais ou mon père qui et venu faire son armée….. j’avais 2 ans , je nais donc pas de souvenirs….. je suis maman de six enfants , Chris en a eu deux ils sont adultes, une belle petite famille et le plaisirs de 10 petits-enfants et un arrière petit-fils ,le malheur ne ma pas oublier j’ai un fils qui nous a quitté il y a 8 ans. Ou le vide c’est créé ,et c’est la ou j’ai eu la chance de rencontrer Christophe qui m’a sauvé et c’est bien de le dire .c’est pour cela que je fais cette démarche qui ne tente rien …… voilà en grande partie cette action auprès de vous ,de pouvoir faire découvrir ensemble cette belle île où je suis née à mon duo……. Il y aurait beaucoup de choses encore à dire ,le principal c’est de pouvoir avoir le plaisir de faire ce voyage qui sera de noce pour le mois d’Aout . Merci de m’avoir lu et merci ……Read more",2
1646,le rve dun homme,"Dreams, Hopes & Wishes","€110 raised of €2,500                    ",Saint-Malo,4.4%,"Created November 4, 2021","Bonjour je m'appelle Manon,Mon copain Kris rêve de streamer malheureusement nous n'avons pas les moyens de réaliser son rêve....Son rêve lui semble impossible, donc il perd sa motivation et toute confiance en l'avenir...J'aimerais lui montrer que c'est possible!C'est pourquoi je demande votre aide.Aidez moi à réaliser son rêve et à retrouver l'envieS'il vous plaît Merci beaucoup de le soutenirRead more",4
1647,birthday du frro,"Dreams, Hopes & Wishes",€410 raised of €458                    ,Saint Martin (France),89.5%,"Created November 10, 2021","Pour les 19 ans de notre Maxou, une petite cagnotte pour le permis bateau vs le permis moto :DRead more",21
1648,leausourcedevie,"Dreams, Hopes & Wishes","€300 raised of €1,000                    ",Paris,30.0%,"Created December 25, 2021","Cest parce que la simplicité d’ouvrir notre robinet nous rend souvent aveugle face au processus d’accessibilité à l’eau, nous en avons oublié sa vitalité. L’eau source de vie. Nous avons aussi tendance à omettre le faite que sans infrastructures correctes, l’accès à l’eau est très limitée, beaucoup trop limitée… c’est pour cela que je viens aujourd’hui vers vous afin de réunir le maximum de fond possible dans le but d’offrir cet accès vital aux personnes les plus démunies que nous avons souvent tendance à oublier.Je vous remercie d’avance.Avec la somme de 1000€ c’est 5 puits qui peuvent être créés, soit alors la renaissance de 5 familles…PS: des livres coraniques et des arbres serons plantés par la même occasion.Read more",17
1649,commande vinyls the leftovers,"Dreams, Hopes & Wishes",€593 raised of €35                    ,Lille,100%,"Created December 1, 2021","voici le lien pour les commandes de vinyls. Vous avez jusqu'a fin de semaine pour passer votre commande.Comment ?faites un don de 36 euros avec votre nom et prénom pour chaque vinyl commandé et on s'occupe du reste.Pourquoi ?ce site nous permettra de tracer chaque paiement et son origine ainsi qu'un remboursement facile pour tout le monde en cas de problème.Pourquoi 36 ?Il y a 35 euros du prix du vinyl plus une commission de 1 euro par don prélevée par le site.Bonne journée a tous et oubliez pas, l'album sort le 3 a 18h !!!!!Read more",12
1650,enceinte et airpods,"Dreams, Hopes & Wishes",€80 raised of €650                    ,Saint-Maur-des-Fossés,12.3%,"Created January 1, 2022",a la recherche de fonds pour reparerl’enceinte et mes AirPods Pro ❤️❤️❤️Read more,8
1651,help peter catch some fish,"Dreams, Hopes & Wishes",€120 raised of €350                    ,Moncoutant-sur-Sèvre,34.3%,"Created January 1, 2022","Hi, I am starting a fundraiser because my birthday is coming up and I really need a boat GPS so I can catch some fish ! The boats budget has been blown out of the water already! So for any kind donations I will be very grateful PS: in exchange for some fish if successful   Read more",7
1652,em8sdc aidez moi raliser mon rve,"Dreams, Hopes & Wishes","€235 raised of €1,000                    ",Bondoufle,23.5%,"Created December 19, 2021","Bonjour je m'appelle Thomas ! J'ai 33 ans et suite à un infarctus en juillet 2021, je me suis rendu compte, encore plus qu'avant, que la vie est courte, qu'il faut se battre tous les jours même dans les moments les plus dures, qu'il faut garder espoir et surtout réaliser ses rêves.Aimant la nature plus que tout, mon rêve s'appelle le PCT : Pacific Crest Trail.Une randonnée pédestre de 5 mois qui traverse 3 états des États-Unis allant de la frontière mexicaine à la frontière canadienne , d'une longueur de 4200 km.( départ prévu en avril 2022 jusqu'à septembre 2022 )Partir pour une si grande aventure, seul, pour se retrouver face à soi même en profitant des paysages, de la nature, des animaux, est mon plus grand souhait.Bien-sûr ceci à un coût non négligeable qu'il est difficile d'assumer seul. Je sollicite donc votre aide, dans la mesure du possible . Je vous remercie d'avance et vous souhaite de réalisez vos rêves tant que vous le pouvez !ThomasRead more",7
1653,help to get my friend marie to see her parents,"Dreams, Hopes & Wishes","€65 raised of €1,000                    ",Paris,6.5%,"Created December 27, 2021","Hello!My name is Patrick i need your help.My Friend Marie is from the Ivory Coast, but live and study since 5 years in Paris. Since she moved here she cannot affort to get a Ticket for the plane to see her loved ones and it broke my heart today when i saw her crying again because she misses them so much. I thought i might find someone here who could help me to buy her a ticket so she can finally hug her mum and dad again. Especially in times of this Pandamic i could not imagine to not see my family for such a long time and when i see her tears i just want to help her out and place a huge smile where tears just dryed.For further infos or updates please just contact me.I would be super thankful for every cent we can get closer to this goal.Best regards PatrickRead more",4
1654,sepervelo,"Dreams, Hopes & Wishes","€240 raised of €5,000                    ",Strasbourg,4.8%,"Created November 29, 2021","Définition : ""SEPédale fort !"" est une expression française créée par une SEPER cycliste qui ne pédale pas dans la choucroute !Présentation: j'ai 30 ans et je suis atteinte d'une sclérose en plaques diagnostiquée en 2019. Aujourd'hui j'éprouve le besoin de partir à la rencontre de mon corps pour mieux vivre avec la maladie et j'ai décidé de suivre un rêve ; voyager à vélo seule l' Eurovelo 12 qui passe par la Scandinavie, appelée ""La véloroute de la Mer du Nord"" en juillet 2022.Ce projet de financement participatif est en cours de construction.La cagnotte me permettra d'investir dans l'équipement et le matériel nécessaires à ce voyage, le coût du transport et des hébergements.J'ai hâte de vous en dire plus et je vous remercie pour votre soutien qui sera récompensé.CharlotteRead more",4
1655,cration ecolieu participatif au prou,"Dreams, Hopes & Wishes","€65 raised of €25,000                    ",Saint-Maximin-la-Sainte-Baume,1.0%,"Created January 7, 2022","BonjourNous sommes Virginie et Laurent, nous avons un rêve : Partir au Pérou afin de créer un ecolieu participatif, notre objectif principal est d'intégrer au quotidien des Péruviens en difficulté, leur offrir le gîte et le couvert en bâtissant avec eux un rêve commun.Dans le respect et la protection de l'environnement, des coutumes locales, accueil d'étrangers souhaitant intégrer l'eco lieu où simplement de passage..Nous sommes thérapeutes énergétiques, nous souhaitons également former des Péruviens aux soins naturels, accueillir ce qu'ils ont à nous transmettre de leurs connaissances ancestrales.Nous envisageons de partir entre avril et septembre 2022 afin de trouver le lieu de ce projet et bien sûr en déposer les premières fondations.Merci infiniment de votre lecture, de votre aide même la.plus minime est enoooorme.A vite pour le récit de notre périple.Virginie et LaurentRead more",3
1656,un iphone pour nass,"Dreams, Hopes & Wishes",€21 raised of €800                    ,Paris,2.6%,"Created December 28, 2021","Après de nombreuses chutes, l’iPhone XR de nass a rendu l’âme ! Aujourd’hui mobilisons nous pour lui faire le cadeau de ses rêves ! Un iPhone neuf   1 l’argent + 1 l’argent = 2 l’argent Read more",3
1657,aidez julie et shana a sacheter une paire,"Dreams, Hopes & Wishes",€15 raised of €970                    ,Paris,1.5%,"Created December 28, 2021",On est pas assez riche dslaidez nous svpRead more,3
1658,vhpxhr aidez moi raliser mon rve,"Dreams, Hopes & Wishes",€40 raised of €40                    ,Vaulx-en-Velin,100.0%,"Created November 26, 2021","bonjour, j’aimerai réaliser mon rêve qui est de faire un escape game horreur avec mes copains mais au vu de ma pauvreté, je ne suis pas dans la capacité de me le payer, je fais donc appel à vous !pour rendre heureux un enfant, sûrement entre tant d’autres mais tout de même un heureux, c’est mieux que rien…merci à vousRead more",3
1659,le camion miniature de mes reves,"Dreams, Hopes & Wishes",€20 raised of €135                    ,Paris,14.8%,"Created January 11, 2022","Il s'agit de la miniature 1/43 Renault T 520 High semi-remorque Chereau de la STAF, « Héros - Merci à tous pour votre dévouement ».Disponible sur Ebay (https://www.ebay.fr/itm/274517472621?chn=ps&mkevt=1&mkcid=28), si vous voulez me l'acheter directement.Pour mieux comprendre mon rêve, vous pouvez regarder les informations détaillées sur ce site: http://www.milinfo.org/2020/06/1/43-renault-t-520-high-semi-frigo-chereau-staf-heros-eligor.htmlJ'accepte aussi les Lydia ou le $$$ en personne.Merci à vous, et surtout, merci à nos héros... <3 <3 <3Read more",2
1660,nouvel ordinateur pour rev,"Dreams, Hopes & Wishes",€60 raised of €950                    ,Marly,6.3%,"Created December 23, 2021",J'aimerais aider mon compagnon à s'offrir le pc gaming dont il a besoin puisque l'ancien rend l'âme et le rendre heureux avec un meilleur matériel informatique. Merci à tous pour vos dons ♥Read more,2
1661,aider marie a financier son rve,"Dreams, Hopes & Wishes",€40 raised of €240                    ,Lélex,16.7%,"Created December 17, 2021","coucou , c’est Marie . Aujourd’hui je voudrais savoir si tu pourrais m’aider à financier mes cours d’équitation. J’en fais depuis toute petite et j’adore sa ! Sa fait maintenant depuis septembre que j’ai arrêté et sa me manque énormément. J’espère que tu m’aideras un petit peu merci . <3Read more",2
